אב בחכמה,חכם/למדן
אִיפֶמִיזְם,שפה נקייה
איקונין,תמונה/צלם דמות הקדושים הנוצריים
איש אשכולות,איש בעל כישרונות רבים וידע רב
איש דברים,אדם היודע לדבר יפה ורהוט
איש הישר בעיניו יעשה,כל אדם עושה את שנכון לו ואין לו שום דין, הפקרות
איש קש,אדם שמטרתו להסתיר פעולות(בדרך כלל פליליות)
איש רכיל,מלשין/מוציא דיבה רעה
איש בשורה,אדם המבשר בשורות טובות
אנשי שלומנו,אנשים הדואגים לשלומנו/מקורבים
חזר לאיתנו,חזר למצבו הרגיל
איתן בדעתו,עומד בתוקף על שלו
איתרע מזלו,היה לו מזל ביש במשהו
איכון,המציאת מיקומו המדויק של דבר מסויים
איכול,שריפה/בעירה/קורוזיה
אכל פרי בעלליו,אדם נושא בתוצאות מעשיו
אכל קרצה,הלשין
אכסדרה,בניין עמודים מקורה המשמש מבוא לבית
אכרומטי,חסר צבע
שם לאל,ביטל/שלל/הפריך
אל באפך,אל תכעס
יש לאל ידו,יש לו מספיק כוח בשביל המשימה
אל יתהלל חוגר כמפתח,אל תתהלל מלכתחילה בדברים שעדיין לא סיימת
אל תגידו בגת,לא לפרסם דבר
אלגוריה,משל
אלה,אלילה/סוג של עץ
אלה,קללה איומה/שבוע חמורה
אלונטית,מגבת
אלוף נוערים,חבר ילדות/כינוי חיבה של האישה לבעל שנישא לה בגיל צעיר
אנסתזיה,אילחוש/הרדמה
אלטרואיזם,האהבת זולת
אלטרנטיבה,חלופה/ברירה
אליבא,לפי דעתו
אליבא דדי,לדעתי
אליה וקוץ בא,משל לדבר שבכללו הוא טוב אלא שיש בו פגם קטן
כל דאלים גבר,החזק שולט
אלומה,אגודת שיבולים שנקצרו
אלמן קש,כינוי לעגני לבעל שאשתו עוזבת אותו לתקופה
אלמנט,יסוד/מושג יסוד
אלמטרי,יסודי/בסיסי
לא באלף רבתי,לא!אבל ממש לא!
אילפס,סיר קטן
אילתית,דג הסלמון
לְאַלְתַּר,מיידית/תיכף ומייד
אם הדרך,פרשת דרכים
אם בארזים נפלה שלהבת מה יעשו אזובי קיר?,אם הטובים והחזקים נפלו בצרה מה יגידו החלשים
אמביולנטי,דו ערכי/שיש בו רגשות מעורבים
אמביציה,שאפתנות
אֶמְבַּרְגּוֹ,הסגר
אמגושי,קוסם גדול
אמד,העריך
אמד בדעתו,שקל ועיין בדבר
אמיד,עשיר
אמדן,הערכצ סדר גודל
אמה,אצבע אמצעית בכף היד;מידת אורך קדומה;שפחה;תעלה להעברת מים
בד' אמותיו,אדם תקוע בעצמו ולא מתערה בחברה
אמודאי,צוללן;איש צפרדע
אימום,תבנית של כסף רגל/ראש/גוף
אמוק,רוח טירוף/שיגעון
ריצת אמוק, ריצה מטורפת
אמברוסיה,מזון האלים היוונים
אמורטיזציה,בלאי שחיקה
אמורפי,חסר צורה
אמיר, צמרת העץ
דברים בעלמא,דיבור סתם ללא משמעות/שטות
אמנציפציה,שוויון זכויות
אמפוטציה,כריתה של איברק בגוף
אמפולה,שפופרת קטנה
אמפיבי,מסוגל לנוע ולחיות ביבשה ובים
אמפירי,ניסיוני/ניתן למדידה
אומצה,סטייק
באופן בלתי אמצע,ישירות ללא מתווך
אמר אל ליבו,חשב הגה בדבר
אמר נואש,התייאש
אמרי שפר,דברים טובים בשפה יפה/פתגמים
בלי אומר ודברים,בלי דיבורים מיותרים/עשה בשקט
אמרה,פתגם/ניב/ביטוי
אמתלה,תירוץ
אמתחת,שק גדול
באמתחתו,ברשותו/בידיו
אנאלפבית,אדם שאינו יודע קרא וכתוב
אנדרוגינוס,בעל חי או צמח שהוא גם זכר וגם נקבה
אנדרלמוסיה,בלאגן
אנומליה,סטייה
אנוס,מוכרח/נאלץ/פי הטבעת/כיוני ליהודי שהמיר את דתו
אנוש,מסוכן/קטלני
אנטגוניזם,התנגדות/ניגוד חריף
אנטומיה,תורת חקר גוף האדם ובעלי החיים
אנטונים,היפוכו של דבר/מילה בעלת משמעות הפוכה
אני ואפסי עוד,ביטוי המעיד על שחצנות/אין דומה לי
אניגמה,צופן/קוד/חידה
אנין,עדין/מעודן
אנין טעם/איסטניס,בעל טעם מעודן
אניץ,סיב של צמח
אנכרוניסטי,מיושן/אבד עליו הכלח
אנלוגיה,השווה/דמיון בן שני דברים
אנליזה,ניתוח לפרטי פרטים
אנסמבל,להקה של שחקנים
אנף,כעס/רתח/קצף
אינפוף,דיבור/שירה כשחלל האף סתום
אנפילאות,נעלי בית/דרדסים
בזיזעיר אנפין,תבנית מוקטנת,קנה מידה מוקטן
אנקדוטה,בדיחה הלצה
אנתולוגיה,קובץ סיפורים
אסדה,רפסודה
אסוך,כד לנוזלים ובעיקר לשמן
אסופה,קובץ/אנתולוגיה
אסופי,ילד שנמצא ברחוב ולא יודעים מי הם הוריו
אסותא,רפואה
אסימילציה,הטמעה/התבוללות
אסכולה,בית ספר/שיטה מסויימת של מורה או הוגה דעות שרבים פועלים על-פיה
אסכלה,גרם מדרגות מהחוף לאונייה/חלק המתכת העליון שעל המנגל
אסל,מנוף/מוט ששמים על הכתפיים בכדי לשאת שני דליים
אסיא אסי חיגרתך,לפני שאתה מדבר על אחרים בדוק את עצמך
אסמכתה,מקור ממנו מצטטים או שעליו מסתמכים
נאסף אל עמיו,ביטוי מליצי בכדי לומר שמשהו נפטר
אסקופה,מפתן/סף הדלת
אסקפה נדרסת,כינוי לאדם שמציקים לו ומתעללים בו כל הזמן
אסקטי,נזירי/סגפני/אשר נמנע מהנאות החיים
ארף אפים,סבלנות
ארכה,תוספת זמן/הארכה
בזעת אפיו,בעבודה קשה/בעמל רב
אפולוגטיקה,דברי הצטדקות או התגוננות
אפוס,עלילת גבורה
אפריורי,מלכתחילה/לפני
אפוסטריורי,בדיעבד/אחרי(ההפך מאפריורי)
אפוקליפסה,חזון אחרית הימים
אפוטרופוס,אדם שהוטלה עליו אחריות של אדם אחר
אפיגון,חקיין
אפידמיה,מגפה
אפיזודה,מקרה/מאורע בודד
אפיל,התבואה האחרונה
אפיפית,וופל
אפיקורס,כופר/חופשי בדעותיו
אפיריון,מין מרכב לנשיאת אנשים על ידי סבלים
אַפְסָר,חבל בו קושרים את הבהמות
אפרקדן,שכוב על הגב בזרועות ורגליים פשוטות
אפתיה,אדישות
אצבע צרדה,האצבע האמצעית הארוכה/מכה באמצעות קצה האמצע
אצטבה,מדף
אִצְטַגְנִין,אסטרולוג
אצטומכא,קיבה
אצעדה,צמיד לרגל
אקודוקט,אמת מים/תעלה המובילה מים
אקויולנטי,שווה ערך
אקורל,ציור בצבעי מים
אקלקטי,מלוקט
אקסטנסיבי,רחב היקף
אקסטרוגנטי,יוצא דופן/בלתי רגיל
אקסיומה,אמיתה/הנחת יסודית וראשונית
אקסצנטרי,חריג/יוצא דופן
אקצנט,מבטא/טעם/הדגשה
אקרן,מסך להקרנה
אראל,מלאף/שליח
ארבה,סירה שטוחה להעברת סחורות ואנשים בהנהר/מעבורת
ארבע כנפות הארץ,שושנת הרוחות
ארגומנט,טיעון/נימוק/טעם לדבר
ארוכה,גלד/שכבת הבשר העולה על הפצע כאשר הוא מבריא
הֶעֳלָה אֲרוּכָה,הבריא/החלים
ארומה,ריח ניחוח
ארז הלבנון,כינוי לאדם גדול ונכבד
אריח,בלטה/מרצפת
אריס,אדם המעבד שטחים של אחרים
אריסטוקרט,אציל
ארכאי,עתיק/קדום/נושן
ארכובה,ברך/ידית שצורתה כברך
ארכוף,הטבעת בצד האוכף
ארכיב,ארכיון
ארכיפלג,קבוצת איים
ארץ גזרה,מקום שומם ונידח/מושבת עונשין
דרך ארץ,נימוסין והליכות/מלאכה
הלך בדרך כל הארץ,נפטר/מת
ארשת,קלסתר/הבעה/איך שהפנים נראות
אש וגפרית,כינוי לדיבורים חריפים וקשים
אשבול,תפרחת בעלת פרחים רבים וצפופים
אשד,מפל מים
אשדה,מורד ההר
אשת חיל/לפידות, אישה זריזה וחרוצה
אשת מדנים,אישה המרבה לריב ולסכסך
אורח נשים,וסת/מחזור
אישוש,חיזוק/ביסוס
אֶשְׁכָּר,מתנה/מנחה
אשל,פונדק/אכסניה
אשמאי,חוטא גדול
אשמורת,חלק מן הלילה
אשפה,נרתיק לחצים
אשפרה,תהליך הגימור של האריג
אשפיז,אורח/מארח
אשקוקה,שח-מט
אשישה,עוגת פירות/כוס זכוכית
אשתקד,בשנה שעברה
אתאיזם,כפירה בקיומו של האל
אתון,נקבת החמור
אתוס,מוסר/מצפון
אתנחתא,הפסקה/פסק זמן
אתנן,שכר לדבר רע
